Make,Model,Year,Variant,Price,Location,Mileage
Hyundai,Tucson,2025,Hybrid Signature,PKR 1.27 crore,Lahore,10 km
Toyota,Mark X,2005,,PKR 48.5 lacs,Lahore,"130,000 km"
Toyota,Corolla,2008,Altis SR Cruisetronic 1.8,PKR 23 lacs,Karachi,"120,000 km"
Suzuki,Cultus,2022,VXR,PKR 32.85 lacs,Multan,"27,500 km"
Daihatsu,Hijet,2020,Cruise,PKR 24.85 lacs,Karachi,"183,992 km"
Toyota,Land Cruiser,2007,,PKR 1.24 crore,Multan,"162,000 km"
Suzuki,Alto,2020,VXR,PKR 23.2 lacs,Islamabad,"44,000 km"
Honda,Civic,2022,1.5 VTEC Turbo Oriel,PKR 74.8 lacs,Lahore,"39,905 km"
Mercedes,Benz C Class,1995,C180,PKR 27 lacs,Lahore,123 km
Toyota,Corolla,2019,GLi Automatic 1.3 VVTi,PKR 44.5 lacs,Karachi,"114,000 km"
Hyundai,Tucson,2025,AWD A/T Ultimate (Black Interior),PKR 92 lacs,Karachi,"7,000 km"
Honda,BR-V,2022,i-VTEC S,PKR 51.85 lacs,Karachi,"29,000 km"
Honda,Civic,2004,VTi Oriel Prosmatec 1.6,PKR 20 lacs,Rawalpindi,"228,000 km"
Mazda,Carol,2022,GX,PKR 38.5 lacs,Islamabad,"67,000 km"
Toyota,Aqua,2017,S,PKR 49.75 lacs,Faisalabad,"127,881 km"
Mercedes,Benz E Class,2007,E 200 Kompressor Elegance,PKR 58 lacs,Lahore,"180,000 km"
Mitsubishi,Pajero Mini,2012,Limited,PKR 21.75 lacs,Islamabad,"121,000 km"
Toyota,Sienta,2019,,PKR 60 lacs,Lahore,"57,000 km"
Suzuki,Alto,2022,VXL AGS,PKR 28 lacs,Kohat,"58,000 km"
Honda,Civic,2019,Oriel 1.8 i-VTEC CVT,PKR 58 lacs,Lahore,"85,000 km"
Toyota,C-HR,2019,S-LED,PKR 85 lacs,Karachi,"21,000 km"
Toyota,Vitz,2019,Hybrid U 1.5,PKR 46.5 lacs,Lahore,"85,000 km"
Toyota,Corolla,1980,XE Limited,PKR 10.2 lacs,Peshawar,999 km
Toyota,Corolla Axio,2017,Hybrid 1.5,PKR 60 lacs,Karachi,"83,000 km"
Hyundai,Sonata,2021,2.5,PKR 92 lacs,Lahore,"40,000 km"
