Name,Developer,Image URL,Link,Return to Player,Volatility,Provider,Number of Paylines,Layout,Min Bet,Max Bet,Release Date,Last Update
Ocean Magic,IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/ocean-magic.png,https://www.vegasslotsonline.com/igt/ocean-magic/,,,,,,,,,
Egypt Sky,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/egypt-sky.png,https://www.vegasslotsonline.com/egt/egypt-sky/,,,,,,,,,
OMG Kittens,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/omg-kittens.jpg,https://www.vegasslotsonline.com/wms/omg-kittens/,,,,,,,,,
Hoot Loot,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/hoot-loot.png,https://www.vegasslotsonline.com/high-5-games/hoot-loot/,,,,,,,,,
Craps,Not Listed,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/table-games/images/craps.png,https://www.vegasslotsonline.com/table-games/craps/,,,,,,,,,
Super Hot Fruits,Inspired Gaming,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/super-hot-fruits.png,https://www.vegasslotsonline.com/inspired-gaming/super-hot-fruits/,,,,,,,,,
Fu Dao Le,Bally,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/fu-dao-le.jpg,https://www.vegasslotsonline.com/bally/fu-dao-le/,,,,,,,,,
Kronos,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/kronos-mobile.jpg,https://www.vegasslotsonline.com/wms/kronos/,,,,,,,,,
Triple Play Draw Poker,Not Listed,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/video-poker/images/triple-play-draw-poker.png,https://www.vegasslotsonline.com/video-poker/triple-play-draw-poker/,,,,,,,,,
Cash Machine,Everi,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/cash-machine-everi.png,https://www.vegasslotsonline.com/everi/cash-machine/,,,,,,,,,
Book of Dead,Play'n Go,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/book-of-dead.png,https://www.vegasslotsonline.com/play-n-go/book-of-dead/,,,,,,,,,
Gorilla Chief 2,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/gorilla-chief-2.jpg,https://www.vegasslotsonline.com/wms/gorilla-chief-2/,,,,,,,,,
Sirens,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/sirens.png,https://www.vegasslotsonline.com/high-5-games/sirens/,,,,,,,,,
Dragon Spin,Bally,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/dragon-spin.png,https://www.vegasslotsonline.com/bally/dragon-spin/,,,,,,,,,
Monopoly Big Event,Barcrest,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/barcrest/images/monopoly-big-event.png,https://www.vegasslotsonline.com/barcrest/monopoly-big-event/,,,,,,,,,
Black Knight 2,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/black-knight-2.jpg,https://www.vegasslotsonline.com/wms/black-knight-2/,,,,,,,,,
Burning Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/burning-hot.jpg,https://www.vegasslotsonline.com/egt/burning-hot/,,,,,,,,,
Fire Queen,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/wms/images/fire-queen.jpg,https://www.vegasslotsonline.com/wms/fire-queen/,,,,,,,,,
Michelangelo,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/michelangelo.png,https://www.vegasslotsonline.com/high-5-games/michelangelo/,,,,,,,,,
Golden Wolves,Konami,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/konami/images/golden-wolves.png,https://www.vegasslotsonline.com/konami/golden-wolves/,,,,,,,,,
Rise of Ra,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/rise-of-ra.png,https://www.vegasslotsonline.com/egt/rise-of-ra/,,,,,,,,,
40 Burning Hot 6 Reels,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/40-burning-hot-6-reels.jpg,https://www.vegasslotsonline.com/egt/40-burning-hot-6-reels/,,,,,,,,,
Dancing Drums,Shuffle Master,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/dancing-drums.jpg,https://www.vegasslotsonline.com/shuffle-master/dancing-drums/,,,,,,,,,
Guns N' Roses,NetEnt,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/guns-n-roses.png,https://www.vegasslotsonline.com/netent/guns-n-roses/,,,,,,,,,
Jaguar Princess,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/jaguar-princess.png,https://www.vegasslotsonline.com/high-5-games/jaguar-princess/,,,,,,,,,
Crystal Forest,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/crystal-forest-mobile.jpg,https://www.vegasslotsonline.com/wms/crystal-forest/,,,,,,,,,
20 Burning Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/egt/images/20-burning-hot-1.png,https://www.vegasslotsonline.com/egt/20-burning-hot/,,,,,,,,,
China River,Bally,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/bally/images/china-river.jpg,https://www.vegasslotsonline.com/bally/china-river/,,,,,,,,,
Sahara Riches Cash Collect,Playtech,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/sahara-riches-cash-collect.jpg,https://www.vegasslotsonline.com/playtech/sahara-riches-cash-collect/,,,,,,,,,
Zeus 1000,WMS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/zeus-1000-mobile.png,https://www.vegasslotsonline.com/wms/zeus-1000/,,,,,,,,,
100 Super Hot,Amusnet (EGT),https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/100-super-hot.png,https://www.vegasslotsonline.com/egt/100-super-hot/,,,,,,,,,
"The $100,000 Pyramid",IGT,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/the-100000-pyramid-1.png,https://www.vegasslotsonline.com/igt/the-100000-pyramid/,,,,,,,,,
Gypsy Fire,Konami,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/konami/images/gypsy-fire.png,https://www.vegasslotsonline.com/konami/gypsy-fire/,,,,,,,,,
Renoir Riches,High 5 Games,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/high-5-games/images/renoir-riches.png,https://www.vegasslotsonline.com/high-5-games/renoir-riches/,,,,,,,,,
Rakin' Bacon,AGS,https://assets.vegasslotsonline.com/vegasslotsonline.com/assets/uploads/games/rakin-bacon.jpg,https://www.vegasslotsonline.com/ags/rakin-bacon/,,,,,,,,,
