Make,Model,Year,Variant,Price,Location,Mileage
Suzuki,Wagon R,2015,VXR,1700000,Lahore,150502
Haval,H6,2023,HEV,110000000,Lahore,23000
Toyota,Yaris Hatchback,2021,G 1.0,5150000,Karachi,19557
Prince,Pearl,2021,MT,1135000,Karachi,34000
MG,HS,2022,Trophy,6900000,Gujranwala,35000
Suzuki,Cultus,2019,VXL,2950000,Hyderabad,71000
Suzuki,Mehran,2018,VXR Euro II,1420000,Rawalpindi,50000
Toyota,Corolla,2016,GLi Automatic 1.3 VVTi,3550000,Karachi,100000
Suzuki,Jimny,2013,JLDX,2650000,Islamabad,137000
Suzuki,Mehran,2019,VXR Euro II,1550000,Multan,50000
Honda,City,2012,1.3 i-VTEC,2790000,Islamabad,100000
KIA,Sportage,2021,FWD,6425000,Rawalpindi,52500
Changan,Alsvin,2024,1.5L DCT Lumiere,4400000,Islamabad,23000
Suzuki,Alto,2011,,2100000,Lahore,300000
Daewoo,Cielo,1993,,685000,Peshawar,100000
Toyota,Hilux,2019,Revo V Automatic 2.8,110000000,Karachi,90932
Suzuki,Wagon R,2018,VXL,2150000,Karachi,89424
Toyota,Prado,2012,,170000000,Gujrat,212000
Suzuki,Mehran,2017,VXR Euro II,1080000,Lahore,100000
Toyota,C-HR,2018,S,7000000,Lahore,71096
Suzuki,Alto,2003,VXR (CNG),620000,Lahore,98000
KIA,Sportage,2021,AWD,6950000,Lahore,42000
Toyota,Corolla,2006,X HID 40th Anniversary Limited 1.5,4400000,Takhtbai,190000
Suzuki,Alto,2021,VXL AGS,2750000,Islamabad,32000
Suzuki,Alto,2006,VXR,760000,Okara,200000
Daihatsu,Mira,2011,ES,2099000,Peshawar,220
Suzuki,Mehran,2017,VXR Euro II,1250000,Quetta,67000
KIA,Stonic,2022,EX+,4900000,Karachi,34000
Suzuki,Wagon R,2023,FA,3600000,Islamabad,21900
Toyota,Corolla,2018,Altis Automatic 1.6,4970000,Islamabad,81000
Suzuki,Every 6th Generation (Imported),2017,PA,2150000,Karachi,91000
Toyota,Vitz,2003,F 1.0,2100000,Multan,230859
Toyota,Corolla Cross,2024,1.8 HEV X,9200000,Lahore,27874
Suzuki,Swift,2023,GLX CVT,4625000,Rawalpindi,36000
Suzuki,Cultus,2018,VXL,2550000,Lahore,86000
Nissan,Kicks,2020,XV Premium,Call,Lahore,35000
Suzuki,Alto,2022,VXR AGS Upgraded,2750000,Lahore,36700
Toyota,Land Cruiser,2019,ZX,Call,Lahore,43000
Mitsubishi,Ek Wagon,2021,G,Call,Lahore,46000
Suzuki,Alto,2021,VXL AGS,2680000,Karachi,28172
Suzuki,Mehran,2017,VXR Euro II,1250000,Quetta,67000
KIA,Stonic,2022,EX+,4900000,Karachi,34000
Honda,Accord,2004,CL7,2350000,Lahore,90000
Toyota,Vitz,2008,,2175000,Faisalabad,186000
Toyota,Passo,2007,G 1.0,2250000,Islamabad,128600
Honda,Civic,2022,Oriel,7850000,Sialkot,43000
Honda,Vezel,2014,Hybrid X,4350000,Peshawar,100974
Suzuki,Cultus,2020,VXR,2750000,Lahore,90000
Honda,Civic,1999,VTi Oriel Automatic 1.6,1490000,Lahore,180000
Suzuki,Cultus,2005,VXR,690000,Lahore,100000
Toyota,Corolla,2015,GLi 1.3 VVTi,2930000,Rawalpindi,126000
Nissan,Sunny,2007,,1500000,Okara,250000
Suzuki,Wagon R,2020,VXL,2585000,Karachi,34000
Suzuki,Liana,2006,LXi Sport,1175000,Islamabad,128000
Honda,Civic,2019,Oriel 1.8 i-VTEC CVT,5500000,Lahore,90000
Honda,City 5th (GM2) Generation,2018,1.3 i-VTEC Prosmatec,3700000,Karachi,80000
Toyota,Prado,2020,TX Limited 2.7,308000000,Gujranwala,49068
Toyota,Corolla,1986,DX Saloon,1050000,Mardan,50000
KIA,Sportage,2020,AWD,6475000,Gujranwala,63000
Suzuki,Liana,2010,RXi,1560000,Lahore,137000
Toyota,Yaris Sedan,2022,ATIV X MT 1.5,5000000,Sialkot,12000
Haval,H6,2021,High,8400000,Lahore,132000
Toyota,Premio,2002,,2495000,Islamabad,175000
Suzuki,Mehran,2018,VX Euro II Limited Edition,1450000,Mansehra,54000
Toyota,Yaris Hatchback,2022,X,4250000,Karachi,13871
Mitsubishi,Ek Wagon,2021,G,Call,Lahore,46000
Suzuki,Alto,2021,VXL AGS,2680000,Karachi,28172
KIA,Picanto,2022,1.0 MT,2500000,Karachi,56249
Hyundai,Sonata,2022,2.5,9100000,Lahore,21000
Toyota,Corolla,2009,GLi 1.3 VVTi,2890000,Rawalpindi,169000
Suzuki,Wagon R,2014,FX,2350000,Lahore,127425
Suzuki,Alto,2022,VXR,2650000,Islamabad,66850
Toyota,Corolla,2010,GLi 1.3 VVTi,2750000,Sialkot,110000
Suzuki,Swift,2011,DX 1.3,1975000,Islamabad,110000
DFSK,Glory 580,2021,Pro,4950000,Lahore,51932
Honda,City,2024,1.5L ASPIRE CVT,5850000,Lahore,8500
Daihatsu,Mira,2022,L,3525000,Islamabad,14000
Suzuki,Mehran,2018,VX Euro II Limited Edition,1450000,Mansehra,54000
