name,year,wins,losses,goals_for,goals_against,win_percentage
Edmonton Oilers,1996,36,37,252,247,0.4931506849315068
Florida Panthers,1996,35,28,221,201,0.5555555555555556
Hartford Whalers,1996,32,39,226,256,0.4507042253521127
Los Angeles Kings,1996,28,43,214,268,0.39436619718309857
Montreal Canadiens,1996,31,36,249,276,0.4626865671641791
New Jersey Devils,1996,45,23,231,182,0.6617647058823529
New York Islanders,1996,29,41,240,250,0.4142857142857143
New York Rangers,1996,38,34,258,231,0.5277777777777778
Ottawa Senators,1996,31,36,226,234,0.4626865671641791
Philadelphia Flyers,1996,45,24,274,217,0.6521739130434783
Phoenix Coyotes,1996,38,37,240,243,0.5066666666666667
Pittsburgh Penguins,1996,38,36,285,280,0.5135135135135135
San Jose Sharks,1996,27,47,211,278,0.36486486486486486
St. Louis Blues,1996,36,35,236,239,0.5070422535211268
Tampa Bay Lightning,1996,32,40,217,247,0.4444444444444444
Toronto Maple Leafs,1996,30,44,230,273,0.40540540540540543
Vancouver Canucks,1996,35,40,257,273,0.4666666666666667
Washington Capitals,1996,33,40,214,231,0.4520547945205479
Mighty Ducks of Anaheim,1997,26,43,205,261,0.37681159420289856
Boston Bruins,1997,39,30,221,194,0.5652173913043478
Buffalo Sabres,1997,36,29,211,187,0.5538461538461539
Calgary Flames,1997,26,41,217,252,0.3880597014925373
Carolina Hurricanes,1997,33,41,200,219,0.44594594594594594
Chicago Blackhawks,1997,30,39,192,199,0.43478260869565216
Colorado Avalanche,1997,39,26,231,205,0.6
Dallas Stars,1997,49,22,242,167,0.6901408450704225
Detroit Red Wings,1997,44,23,250,196,0.6567164179104478
Edmonton Oilers,1997,35,37,215,224,0.4861111111111111
Florida Panthers,1997,24,43,203,256,0.3582089552238806
Los Angeles Kings,1997,38,33,227,225,0.5352112676056338
Montreal Canadiens,1997,37,32,235,208,0.5362318840579711
New Jersey Devils,1997,48,23,225,166,0.676056338028169
New York Islanders,1997,30,41,212,225,0.4225352112676056
New York Rangers,1997,25,39,197,231,0.390625
Ottawa Senators,1997,34,33,193,200,0.5074626865671642
Philadelphia Flyers,1997,42,29,242,193,0.5915492957746479
Phoenix Coyotes,1997,35,35,224,227,0.5
Pittsburgh Penguins,1997,40,24,228,188,0.625
San Jose Sharks,1997,34,38,210,216,0.4722222222222222
St. Louis Blues,1997,45,29,256,204,0.6081081081081081
Tampa Bay Lightning,1997,17,55,151,269,0.2361111111111111
Toronto Maple Leafs,1997,30,43,194,237,0.410958904109589
Vancouver Canucks,1997,25,43,224,273,0.36764705882352944
Washington Capitals,1997,40,30,219,202,0.5714285714285714
Mighty Ducks of Anaheim,1998,35,34,215,206,0.5072463768115942
Boston Bruins,1998,39,30,214,181,0.5652173913043478
Buffalo Sabres,1998,37,28,207,175,0.5692307692307692
Calgary Flames,1998,30,40,211,234,0.42857142857142855
Carolina Hurricanes,1998,34,30,210,202,0.53125
Chicago Blackhawks,1998,29,41,202,248,0.4142857142857143
